acq_date,id,path,acq_method,description,program_type,sequence_name,ch_filenames,uv_filenames
2023-02-08 01:56:26,0151,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/016-0801.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-08 01:02:53,0091,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/015-0701.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-08 00:09:18,0211,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/010-0601.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-07 23:15:44,0061,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/009-0501.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-07 22:22:11,0071,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/008-0401.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-07 21:28:35,0081,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/007-0301.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-07 20:35:01,0101,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/006-0201.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-07 19:41:24,0051,/Users/jonathan/0_jono_data/2023-02-07-WINES.sequence/005-0101.D,WINE-AVANTOR100X4_6C18-H2O-MEOH-2_1.M,empty,sequence,2023-02-07-WINES.sequence,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
2023-02-07 18:30:07,z3,/Users/jonathan/0_jono_data/2023-02-07_18-30-07_Z3-ID-NM-ABS-MAX.D,AVANTOR100X4_6C18-H2O-MEOH-2_1-1.M,empty,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch",DAD1.UV
2023-02-07 17:08:25,0051,/Users/jonathan/0_jono_data/2023-02-07_17-08-25_0051.D,AVANTOR100X4_6C18-H2O-MEOH-2_1-NO-FA.M,empty,single run,,"DAD1D.ch, DAD1E.ch, DAD1A.ch, DAD1F.ch, DAD1B.ch, DAD1C.ch, DAD1G.ch",
